"","target","TCH.SIGN","TCH.RESP","TCH.MON","MGT.PLAN","MGT.CLAS","INHALERW","MOD.ENV"
"1","1",618,741,319,161,61,0,268
"2","2",3456,3982,46,854,266,3533,1396
"3","3",4118,4419,4568,2491,798,4063,2005
"4","4",198,613,682,151,54,1572,549
