"","TCH.SIGN","TCH.RESP","TCH.MON","MGT.PLAN","MGT.CLAS","INHALERW","MOD.ENV","SEX","AGEG.F7","EDUCAL","X_INCOMG","X_RFBMI5","SMOKE100","COPD","EMPHY","DEPRESS","BRONCH","DUR.30D","INCINDT","LAST.MD","LAST.MED","  LAST.SYMP","COMPASTH","INS1","ER.VISIT","HOSP.VST","ASRXCOST","WORKTALK","ACT.DAY30"
"","1:8390  ","1:9755  ","1:5615  ","1:3657  ","1: 1179  ","1:9168  ","1:4218  ","1:4896  ","1: 795  ","1:  17  ","1:1778  ","1:3424  ","1:6302  ","1: 2665  ","1: 1090  ","1:5194  ","1:3483  ","1 :1237  ","1:  287  ","4:7760  ","4:4789  ","1      :3513  ","1 :1139  ","1:12789  ","1:1327  ","1: 404  ","1:1509  ","1: 2409  ","1:5667  "
"","2:4877  ","2:3525  ","2:7800  ","2:9604  ","2:12357  ","2:2778  ","2:9265  ","2:8676  ","2:1222  ","2: 245  ","2:2108  ","2:9509  ","2:7231  ","2:10738  ","2:12344  ","2:8269  ","2:9902  ","10:1548  ","2: 1001  ","5:1880  ","5:2192  ","7      :2456  ","11:4252  ","2:  743  ","2:6517  ","2:6524  ","2:9421  ","2:10681  ","2:3009  "
"","3: 305  ","3: 292  ","3: 157  ","3: 311  ","3:   36  ","4:1174  ","3:  89  ",NA,"3:1293  ","3: 666  ","3:1231  ","9: 639  ","7:  39  ","7:  169  ","7:  127  ","7:  83  ","7: 176  ","11: 736  ","3:12253  ","6: 801  ","6:2031  ","3      :2440  ","2 : 795  ","7:   30  ","5:2609  ","4: 920  ","5:2607  ","6:  264  ","3:1431  "
"",NA,NA,NA,NA,NA,"3: 452  ",NA,NA,"4:2077  ","4:3148  ","4:1604  ",NA,NA,NA,"9:   11  ","9:  26  ","9:  11  ","12:4774  ","7:   31  ","7:2852  ","7:4000  ","2      :1665  ","3 :3210  ","9:   10  ","6:3097  ","5:2609  ","7:  23  ","7:  189  ","4: 801  "
"",NA,NA,NA,NA,NA,NA,NA,NA,"5:3299  ","5:4183  ","5:5213  ",NA,NA,NA,NA,NA,NA,"2 : 909  ",NA,"9: 279  ","9: 560  ","4      :1548  ","6 :4118  ",NA,"7:  22  ","6:3097  ","9:  12  ","8:   20  ","5:2609  "
"",NA,NA,NA,NA,NA,NA,NA,NA,"6:3148  ","6:5313  ","9:1638  ",NA,NA,NA,NA,NA,NA,"6 :4118  ",NA,NA,NA,"5      :1014  ","7 :  58  ",NA,NA,"7:  16  ",NA,"9:    9  ","7:  55  "
"",NA,NA,NA,NA,NA,NA,NA,NA,"7:1738  ",NA,NA,NA,NA,NA,NA,NA,NA,"7 : 250  ",NA,NA,NA,"(Other): 936  ",NA,NA,NA,"9:   2  ",NA,NA,NA
